idConsulta,Consulta,Posicion
1, Cuales son las condiciones para presentarse a un concurso?,2
2, Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?,8
3, Cómo se publicita un llamado a concurso?,5
4, Qué contenido tienen los anuncios?,1
5, Cuales son los requisitos para los aspirantes a un concurso?,2
6, Cuales son los plazos de inscripción?,2
7, En dónde se realizan las inscripciones?,1
8, Que documentación deben presentar los aspirantes a un concurso?,6
9, Cuales son los requisitos ante inscripciones múltiples? ,1
10, Que se hace en el cierre de inscripción?,1
11, Que se realiza en la exhibición de nómina de aspirantes,2
12, Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?,-1
13, Que consecuencias tiene la interposición de la impugnación?,1
14, Que tiene que pasar para que el consejo directivo excluya a un aspirante?,-1
15, Que organismo designa a los integrantes del jurado?,1
16, Que condiciones deben reunir los integrantes del jurado?,8
17, Cómo se realiza la recusasión de los miembros del jurado?,3
18, Cuales son los causales de recusasión para algún aspirante?,-1
19, Qué organismo resuelve las recusasiones y excusasiones del jurado?,4
20, Quien reemplaza a un jurado recusado o excusado?,1
21, Que presencia hace falta para que el jurado funciones válidamente?,4
22, Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?,1
23, Cuales son las pautas para la evaluación de un aspirante?,-1
24, Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?,-1
25, A cargo de que organismo está la designación de profesores por concurso?,9
26, Qué sucede cuando existen reales dificultades para obtener miembros del jurado?,1
27, Que se realiza ante la aparición de una nueva vacante o puesto curricular?,1
28, Qué carácter tienen las solicitudes de inscripción a un concurso docente?,-1
29, Quienes pueden recusar a los miembros del jurado?,2
30, Quien resuelve las excusasiones y recusaciones ,1
31, Que actividades no puede realizar un alumno en categoría pasivo?,2
32, Hasta cuando se mantiene la regularidad de la asignatura?,4
33, Que implica la pérdida de regularidad?,1
34, Que es un alumno vocacional?,1
35, Que derechos tiene un alumno vocacional?,5
36, Como puede aprobar una asignatura un alumno regular?,-1
37, Como puede aprobar una materia un alumno libre?,1
38, Como se expresa la calificación final de una asignatura?,5
39, Quienes pueden solicitar equivalencias de algunas asignaturas?,1
40, Que tipo de ámbitos son los consejos de carrera?,7
41, Que datos contienen los anuncios?,1
42, Quien esta a cargo de la difusion del llamado a concurso?,1
43, Cual es el periodo de inscripcion a la convocatoria?,3
44, Como realizo mi solicitud de inscripcion?,1
45, Cuando presento el pleanamiento de la catedra?,-1
46, Puedo presentarme a mas de un concurso?,1
47, Puede un apoderado intervenir en mis tramites?,1
48, Como se designa al jurado?,1
49, Como se compone el jurado?,-1
50, Cuales son las causales de recusacion de un miembro del jurado?,-1
51, Como evalua el jurado al aspirante?,2
52, Quienes participan en la deliberacion del jurado?,3
53, Puede haber mas de un aspirante con el mismo merito?,-1
54, Que restricciones tiene un alumno pasivo?,4
55, Que podra realizar un alumno activo?,6
56, Cuanto tiempo se mantiene la regularidad en una asignatura?,1
57, De que consta la perdida de la regularidad?,2
58, Que esta habilitado a realizar un alumno libre?,2
59, En que momento se da a conocer la condiicon de cada alumno?,-1
60, Cuantos turnos de examenes finales se dictan por año lectivo?,-1
61, Que contiene un acta de evaluacion?,8
62, Como se lleva control de asignaturas correlativas?,6
63, Con que categorias de docentes universitarios cuenta la Facultad?,9
64, Cuales son las normas para el dictado de clases?,1
65, Como se determina la condicion de los alumnos?,1
66, Quienes estan habilitados a ingresar a la ensenanza de grado?,3
67, Cuales son los derechos del estudiante?,3
68, Que requisitos se especifican para ser docente?,-1
69, Cuales son las condiciones para acceder a la formación de posgrado?,1
70, De que se encarga el estado provincial?,-1
71, Cuales son los objetivos de la educacion superior?,1
72, Cuales son las modalidades del sistema educativo?,-1
73, Cuales son los organos del gobierno universitario?,1
74, Quienes integran el consejo superior?,-1
75, Quienes integran el consejo directivo?,-1
76, Cuales son las funciones del consejo directivo?,-1
77, Cuales son los requsitos para ser decano de la Facultad?,-1
78, Cuales son las funciones del decano?,6
79, Que categorias de estudaintes reconoce la facultad?,6
80, Cuales son las formas de realizar la docencia?,2
81, De que consta la docencia regular?,3
82, De que consta la docencia libre?,-1
83, De que manera se fomenta el desarrollo de la investigacion?,1
84, Cual es el fondo universitario?,6
85, Que cargos son incompatibles?,-1
86, Cuales son las medidas ante la ausencia de un docente?,-1
87, Cual es el objetivo de la tesis de cada alumno?,-1
88, Que es la tesis del estudiante?,1
89, Cual es el plazo para la presentacion de la tesis?,1
90, Qué obligaciones tienen los padres o tutores de los alumnos ?,1
91, Que derechos tienen los padres o tutores de los alumnos ?,2
92, Que deberes tienen los trabajadores de la educación?,4
93, Cuales son los objetivos de la educación  especial?,5
94, Cuales son las funciones de las universidades?,-1
95, Cuales son los objetivos de la educación de adultos?,2
96, Que tiene la formación docente como objetivos?,-1
97, Cuales son los derechos de los educandos?,1
98, Que se verifica en la evaluación  de la calidad en el sistema educativo?,1
99, Qué tiene como objetivos la educación de posgrado?,-1
100, Cuales son los deberes de los trabajadores de la educación?,3
101, Qué verificará la evaluación de la calidad en el sistema educativo,1
102," Qué deberá hacer el El Poder Ejecutivo nacional, a través del ministerio específico?",1
103, Cuál es la misión del Consejo Federal de Cultura y Educación?,2
104, Cuáles son las funciones del Consejo Federal de Cultura y Educación?,3
105, Cuáles son los organos que se compone el Consejo Federal de Cultura y Educación?,1
106, De que dos Consejos Consultivos recibirá apoyo el Consejo Federal de Cultura y Educación?,2
107, Qué atribuciones tienen las autoridades componententes de las provincias y de la municipalidad de la Ciudad de Buenos Aires?,1
108, Con que finalidad financia el Poder Ejecutivo nacional los programas especiales de desarrollo educativo? ,1
109, Que acordaron El Ministerio de Cultura y Educación y las autoridades educativas de las provincias y de la Municipalidad de la Ciudad de Buenos Aires con el seno del Consejo Federal de Cultura y Educación?,1
110, El presupuesto de la administración pública nacional 1993 sera inferior a cual presupuesto?,3
111, Las disposiciones de esta ley son aplicables a todos los niveles y regímenes especiales educativos con excepción cuales artículos?,2
112, Que derechos tienen los padres o tutores de los alumnos/as?,2
113, Que obligaciones tienen los padres o tutores de los alumnos/as?,1
114, Cuales derechos de todos los trabajadores/as de la educación del ámbito estatal y privado se resguardarán?,-1
115, Cuales son los deberes de los trabajadores de la educación?,3
116," Que deberán garantizar el Ministerio de Cultura y Educación de la Nación, las provincias y la Municipalidad de la Ciudad de Buenos Aires?",1
117, Cuales son las funciones del Responsible?,-1
118, Que confeccionará para cada carrera de cada sede y/o subsede el Departamento Personal de la Facultad?,1
119, Cómo será la emisión del voto?,1
120, Durante cuantos días sera la emisión de votos?,1
121, Que deberá presentar para la emisión del voto el sufragante?,3
122, Cuáles seran las funciones de los consejos de carrera?,-1
123, Cuantos años duraran en sus funciones los representantes del Consejo de carrera?,4
124, Cuales son los objetivos de la Educación Especial?,5
125, Cuales son los objetivos de la Educación de Adultos?,2
126, Cuales son las funciones de las autoridades educativas oficiales?,-1
127," Cuales son las obligaciones del El Estado nacional, las provincias y la Municipalidad de la Ciudad de Buenos Aires?",5
128, Cuales son los derechos de los educandos?,1
129, Cuales son los objetivos de la formacion docente?,-1
130, Cual es el plazo sugerido para la presentacion del trabajo a partir de la presentacion de la propuesta?,1
131, Quienes son los integrantes del jurado de la tesis,1
132, Por donde debe ser avisada la fecha de presentación de la tesis de licenciatura? ,2
133, Por quien sera establecido el grado académico o profesional mínimo de los asesores de tesis?,1
134, Por quien sera establecido el el nombre y contenidos específicos de cada capítulo,1
135, Quien es la responsable de administrar el proceso de tesis para los alumnos inscriptos en las asignaturas pertienentes y/o candidatos al grado en proceso de titulación?,1
136, Quienes pueden ejercer la docencia libre?,1
137, Cuales son las funciones del consejo de investigadores?,-1
138, Que se requiere para ser electo Responsable de Carrera?,3
139, Cuales son los bienes de la universidad?,2
140, Que constituye el fondo univsersitario?,1
141, Que se requiere para ser electo como representantes docentes en el consejo de carrera?,1
142, Para que será utilizado el fondo universitario?,3
143, Para que no puede ser utilizado el fondo universitario?,5
144, En qué consiste la docencia libre?,-1
145, Quienes podran elegir a los docentes integrantes del consejo de carrera?,7
146, A qué le presta preferente atención la universidad?,1
147, Qué se requiere para ser consejero estudiante?,4
148, Qué fomenta la universidad como centro de creación de conocimientos?,1
149, Qué recibirá el Responsable de carrera electo como titular?,-1
150, Qué sucede con un docente que falta a la cuarta parte de sus clases fijadas por el horario oficial sin causa?,2
151, Cuál es la norma General?,-1
152, Que propondra cada Unidad Académica mediante Resolución del Consejo Directivo al Consejo Superior?,4
153, De quien estará a cargo la difusión del llamada concurso?,2
154, Dentro de cuantos dias podra publicar el Rectorado una vez aprobado el llamado a concurso?,-1
155, Que contendrán sintéticamente los anuncios?,2
156, Cuales son las condiciones de los aspirantes?,1
157, Cual es el plazo de inscripcion,1
158, Donde es la oficina de Inscripción?,2
159, Cuáles son las solicitudes de Inscricpión?,1
160, Cual es el Planeamiento de la Cátedra?,3
161, En que consiste la Presentación irregular y tardía?,5
162, Qué sucede transcurridos 3 meses el cierre de la inscripción?,1
163, De que se trata el Apoderado?,1
164, De que se trata las Inscripciones Múltiples?,-1
165, Cuando es el cierre de inscripción?,3
166, De que se trata la Exhibición de la nómina de aspirantes?,4
167, De que se trata la Impugnación de los aspirantes?,-1
168, Qué suspenderá la interposición de la impugnación?,1
169, Como sera la designacion del jurado?,1
170, Cuál es la composición del jurado?,-1
171, Qué condiciones deberán reunir los integrantes del jurado?,5
172, Que se debera notificar luego de ser designados los Jurados?,1
173, Cuales son los derechos de los estudiantes de las instituciones estatales de educación superior?,2
174, Cual es el requisito principal para acceder a la educacion de grado?,1
175, Cuales son los objetivos de la Educacion Superior?,-1
176, Que proporciona la educacion superior?,-1
177, Que es responsable de proveer el Estado Nacional?,4
178, Que se debe acreditar para ser alumno auxiliar?,1
179, Se contaran dias no habiles en los terminos del Estatuto?,1
180, Quienes pueden suspender a los docentes?,1
181, Que forma parte del fondo Uiversitario?,1
182, Como se lleva a cabo la docencia libre?,-1
183, Quienes podran ejercer la docencia libre?,1
184," Cuales son las categorías de adscriptos para cátedras, proyectos de extensión y proyectos de investigación?",1
185, Quien podra publicar el trabajo final de un alumno?,1
186, Como se evalua el trabajo final?,4
187, Que cualidades debe tener la tesis?,3
188, Puede realizarse un cambio de director de tesis?,3
189, En que momento puede realizarse correcciones al contenido del proyecto?,1
190, En que se basa la evaluacion de la propuesta de tesis?,1
191, En que consiste la aprobacion de la propuesta de tesis?,2
192, Que sucede cuando el alumno presenta en su tesis tecnologias totalmente nuevas?,2
193, Como se elige al director de la tesis?,3
194, Quien propone la codireccion de la tesis?,-1
195, Cuales son las normas para la presentacion de la tesis?,1
196, Cual es el plazo de presentacion de la tesis?,1
197, Cual es el plazo de entrega de la tesis antes de la presentacion?,3
198, Como es la emision de cualquier tipo de voto dentro de la Universidad?,2
199, Que sucede si hay empate en las elecciones de resposbles de carrera?,-1
200, Quien responde ante un aspecto no previsto en el reglamento?,-1
201, De que consejos tiene apoyo  el consejo federal de cultura y educación?,4
202, Quienes integran la comunidad educativa?,-1
203," A que se obligan el estado nacional, las provincias y la municipalidad de Buenos Aires?",2
204, A que tienen derechos los docentes de las instituciones de gestión privada?,1
205, Que promueven las autoridades educativas oficiales?,1
206, Bajo que responsabilidad está la educación de posgrado?,1
207, Que tiene como objetivos la formación docente?,-1
