idConsulta,preguntas_similares,Posicion
1,"Cuales son las condiciones para presentarse a un concurso?
¿Qué requisitos hay que cumplir para participar en una competencia académica?
¿Cuáles son los criterios para acceder a un proceso de selección?",-1
2,"Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?
¿Qué autoridad es responsable de emitir la convocatoria para el proceso de selección de profesores titulares mediante concurso?
¿Quién tiene la competencia para llamar a concurso para la contratación de profesores regulares?",1
3,"Cómo se publicita un llamado a concurso?
Cómo se difunde un anuncio de concurso?
Cómo se divulga un aviso de selección",1
4,"Qué contenido tienen los anuncios?
¿Cuál es la información que se incluye en los boletines?
¿Qué tipo de mensajes se publican en el tablero de anuncios?",1
5,"Cuales son los requisitos para los aspirantes a un concurso?
¿Qué condiciones deben cumplir los candidatos para participar en una convocatoria?
¿Cuáles son los criterios que deben satisfacer los postulantes para acceder a un proceso de selección?",1
6,"Cuales son los plazos de inscripción?
¿Cuáles son los períodos de matrícula?
¿Qué fechas tienen vigencia para la admisión?",1
7,"En dónde se realizan las inscripciones?
¿Dónde tienen lugar los trámites de matrícula?
¿En qué ubicación se efectúan las formalidades para ingresar?",1
8,"Que documentación deben presentar los aspirantes a un concurso?
Qué expedientes deben entregar los candidatos en un proceso competitivo?
Qué archivos deben remitir los solicitantes para participar en una prueba de selección?",1
9,"Cuales son los requisitos ante inscripciones múltiples? 
¿Qué condiciones se deben cumplir en caso de solicitudes de matrícula repetidas?
¿Cuáles son los procedimientos a seguir al presentar varias solicitudes de admisión?",1
10,"Que se hace en el cierre de inscripción?
¿Qué medidas se toman al finalizar la fecha límite para la matrícula?
¿Cómo se procede con los estudiantes que no han completado su registro dentro del plazo establecido?",1
11,"Que se realiza en la exhibición de nómina de aspirantes
Qué actividades se llevan a cabo durante la presentación de lista de candidatos
Qué procedimientos se siguen en el mostrado de lista de postulantes",4
12,"Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?
Quienes tienen derecho a cuestionar la participación en el concurso de los candidatos?
Quienes pueden reclamar la revisión de la participación en el concurso de los solicitantes?",2
13,"Que consecuencias tiene la interposición de la impugnación?
¿Qué efectos tiene la presentación de una reclamación en el proceso administrativo de la universidad?
¿Cuáles son las consecuencias de la formulación de un recurso en el procedimiento académico?",2
14,"Que tiene que pasar para que el consejo directivo excluya a un aspirante?
Qué condiciones deben cumplirse para que la junta directiva rechace al solicitante?
Qué procedimientos deben seguirse para que el comité de admisión elimine al candidato?",-1
15,"Que organismo designa a los integrantes del jurado?
El comité académico es responsable de designar a los miembros del panel de jueces.
La junta directiva de la universidad selecciona a los participantes en el jurado.",1
16,"Que condiciones deben reunir los integrantes del jurado?
Miembros del panel qué requisitos deben cumplir
Comisionados qué características deben tener",1
17,"Cómo se realiza la recusasión de los miembros del jurado?
Cómo se lleva a cabo la exclusión de los miembros del tribunal?
Cómo se procede con la eliminación de los miembros del panel de jueces?",3
18,"Cuales son los causales de recusasión para algún aspirante?
¿Cuáles son los motivos de exclusión para un postulante?
¿Qué razones justifican la descalificación de un candidato?",-1
19,"Qué organismo resuelve las recusasiones y excusasiones del jurado?
¿Cuál es la instancia que atiende a los recursos y justificaciones presentadas por el jurado?
¿Quién o qué comité se encarga de resolver las objeciones y disculpas formuladas por el jurado?",5
20,"Quien reemplaza a un jurado recusado o excusado?
¿Quién sustituye al miembro del tribunal que ha sido recusado o excusado?
¿Qué persona toma el lugar de un miembro del panel que ha sido recusado o excusado?",1
21,"Que presencia hace falta para que el jurado funciones válidamente?
¿Qué participación es necesaria para que la junta de examinadores opere correctamente?
¿Cuál es la asistencia requerida para que el tribunal funcione adecuadamente?",1
22,"Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?
¿Cuánto tiempo debe transcurrir antes de llevar a cabo un sorteo para determinar el tema y la secuencia de presentaciones?
¿Qué plazo previo es necesario para efectuar un sorteo destinado a establecer el tema y el orden de las exposiciones?",1
23,"Cuales son las pautas para la evaluación de un aspirante?
¿Cuáles son los criterios para la valoración de un candidato?
¿Qué procedimientos se deben seguir para la selección de un postulante?",2
24,"Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?
¿Hasta qué momento se deben comunicar los resultados del veredicto del panel de expertos?
¿Qué plazo máximo es necesario para informar las decisiones del fallo del tribunal estudiantil?",1
25,"A cargo de que organismo está la designación de profesores por concurso?
A cargo de qué institución se realiza la selección de docentes mediante concurso?
A cargo de qué departamento se efectúa el proceso de contratación de profesores a través de un concurso.",2
26,"Qué sucede cuando existen reales dificultades para obtener miembros del jurado?
¿Qué ocurre cuando hay problemas serios para seleccionar integrantes del tribunal?
¿Qué medidas se toman cuando es difícil conseguir jueces para un procedimiento?",7
27,"Que se realiza ante la aparición de una nueva vacante o puesto curricular?
Se abre un proceso de selección para cubrir dicha posición.
Se inicia el procedimiento de contratación para ocupar el puesto disponible.",1
28,"Qué carácter tienen las solicitudes de inscripción a un concurso docente?
¿Cuál es la naturaleza de los pedidos de participación en un concurso docente?
¿Qué tipo de peticiones se presentan para acceder a un concurso docente?",-1
29,"Quienes pueden recusar a los miembros del jurado?
Quienes tienen derecho a excusar a los miembros del tribunal?
Quienes pueden excluir a los miembros del panel de jueces?",-1
30,"Quien resuelve las excusasiones y recusaciones 
¿Quién atiende a los estudiantes que solicitan justificaciones para ausentarse?
¿A quién se dirigen los estudiantes con peticiones de exención o retraso en la entrega de tareas?",2
31,"Que actividades no puede realizar un alumno en categoría pasivo?
Qué acciones no está permitida a un estudiante con condición de inactivo?
Qué procedimientos no puede llevar a cabo un alumno en situación de suspensión?",1
32,"Hasta cuando se mantiene la regularidad de la asignatura?
Hasta qué momento se garantiza la continuidad del curso académico.
¿Cuándo se asegura el cumplimiento de los requisitos formativos?",2
33,"Que implica la pérdida de regularidad?
¿Qué consecuencias tiene la falta de cumplimiento académico?
¿Cuáles son los efectos del incumplimiento de las normas universitarias?",2
