idConsulta,preguntas_similares,Posicion
1,"Cuales son las condiciones para presentarse a un concurso?
¿Qué requisitos hay que cumplir para participar en un concurso académico?
¿Cuáles son los criterios para inscribirse en un certamen universitario?
¿Qué condiciones deben reunirse para postularse a una competencia estudiantil?
¿Qué procedimiento se debe seguir para acceder a un concurso de investigación?
¿Qué requisitos hay que cumplir para participar en un concurso de talentos académicos?
¿Cuáles son las normas para presentarse a un certamen de proyectos universitarios?
¿Qué condiciones deben reunirse para postularse a una competencia de innovación educativa?
¿Qué procedimiento se debe seguir para acceder a un concurso de creatividad y originalidad académica?
¿Qué requisitos hay que cumplir para participar en un certamen de excelencia universitaria?",-1
2,"Quién debe regir la convocatoria para la designación por concurso de profesores ordinarios?
¿Qué autoridad es responsable de emitir la convocatoria para el concurso de profesores titulares?
¿Quién tiene la competencia para llamar a concurso a los profesores ordinarios?
¿A quién corresponde la emisión del llamado para designar a los profesores por concurso?
¿Qué persona o comité debe emitir la convocatoria para el concurso de profesores titulares?
¿Quién tiene la responsabilidad de llamar a concurso a los profesores ordinarios?
¿A quién corresponde la emisión del llamado para designar a los profesores por concurso en la universidad?
¿Qué autoridad es responsable de emitir el llamado para el concurso de profesores titulares?
¿Quién debe regir la convocatoria para la selección de profesores ordinarios mediante concurso?",2
3,"Cómo se publicita un llamado a concurso?
Cómo se difunde un anuncio de concurso?
Cómo se divulga un aviso de concurso?
Cómo se comunica un llamado a postulación?
Cómo se promociona un proceso de selección?
Cómo se anuncia un concurso de becas?
Cómo se publica un edicto de concurso?
Cómo se difunde un comunicado de concurso?
Cómo se divulga un aviso de convocatoria?
Cómo se comunica un llamado a participación?",1
4,"Qué contenido tienen los anuncios?
¿Qué información se incluye en los boletines?
¿Cuál es la naturaleza del mensaje publicado en el tablero de anuncios?
¿Qué tipo de comunicación se transmite a través de las notificaciones universitarias?
¿Qué detalles se presentan en los carteles informativos?
¿Qué contenido tienen los mensajes de difusión?
¿Qué información se proporciona en los avales?
¿Qué tipo de declaraciones se publican en el periódico universitario?
¿Qué contenido tiene la información divulgada por el boletín oficial?",1
5,"Cuales son los requisitos para los aspirantes a un concurso?
¿Qué condiciones deben cumplir los candidatos en un proceso competitivo?
¿Cuáles son los criterios de selección para participar en una prueba académica?
¿Qué requisitos administrativos deben cumplir los postulantes a un puesto universitario?
¿Qué características deben tener los aspirantes a un concurso de becas?
¿Qué condiciones deben reunir los solicitantes para acceder a un programa de investigación?
¿Cuáles son los requisitos básicos para participar en una convocatoria pública?
¿Qué documentos y certificaciones deben presentar los candidatos en un proceso de selección?
¿Qué habilidades y competencias deben demostrar los aspirantes a un puesto docente?
¿Qué procedimientos y formalidades deben seguir los solicitantes en un concurso de admisión?",1
6,"Cuales son los plazos de inscripción?
Cuáles son los límites temporales para la matrícula?
¿Qué fechas son importantes para el proceso de admisión?
¿Cuándo deben presentarse los estudiantes para iniciar sus estudios?
¿Qué calendario es aplicable para las solicitudes de ingreso?
¿Cuál es el plazo máximo para completar la inscripción?
¿Qué plazos son relevantes para la matriculación en la universidad?
¿Cuáles son los límites temporales para la admisión de nuevos estudiantes?
¿Qué fechas son críticas para el proceso de registro estudiantil?
¿Cuándo deben realizarse las acciones necesarias para completar la inscripción?",3
7,"En dónde se realizan las inscripciones?
¿Dónde tienen lugar los trámites de matrícula?
¿En qué ubicación se efectúan las inscripciones académicas?
¿Dónde se llevan a cabo los procedimientos de registro estudiantil?
¿En qué lugar se realizan los procesos de admisión?
¿Dónde se efectúan las inscripciones para nuevos estudiantes?
¿En qué ubicación se encuentran las oficinas de registro universitario?
¿Dónde se lleva a cabo el proceso de inscripción para cursos o programas específicos?
¿En qué lugar se realizan los trámites administrativos para estudiantes internacionales?",1
8,"Que documentación deben presentar los aspirantes a un concurso?
Qué expedientes deben presentar los candidatos a una convocatoria?
Qué archivos deben entregar los postulantes a un proceso selectivo?
Qué papeles deben remitir los solicitantes de un puesto académico?
Qué documentos deben proporcionar los aspirantes a un cargo administrativo?
Qué materiales deben presentar los participantes en un concurso de ideas?
Qué folletos deben entregar los candidatos a una beca o subvención?
Qué certificados deben remitir los solicitantes de un título universitario?
Qué informes deben proporcionar los aspirantes a un puesto docente?
Qué pergamino deben presentar los postulantes a un cargo directivo?",1
9,"Cuales son los requisitos ante inscripciones múltiples? 
¿Qué condiciones se deben cumplir en caso de solicitudes de matrícula repetidas?
¿Cuáles son los procedimientos a seguir al presentar varias solicitudes de admisión?
¿Qué reglas se aplican cuando un estudiante intenta registrarse más de una vez?
¿Cómo se manejan las inscripciones duplicadas según el reglamento universitario?
¿Qué requisitos adicionales hay que cumplir en caso de inscripción múltiple?
¿Cuáles son los pasos a seguir al presentar varias solicitudes de matrícula?
¿Qué condiciones se deben cumplir para evitar la inscripción duplicada?
¿Cómo se manejan las solicitudes de admisión repetidas según el reglamento universitario?
¿Qué procedimientos adicionales hay que seguir en caso de inscripciones múltiples?",1
10,"Que se hace en el cierre de inscripción?
¿Qué sucede al finalizar la fecha límite para registrar cursos o programas académicos?
¿Cómo se maneja la situación cuando ya no se aceptan solicitudes de admisión a una institución educativa?
¿Qué procedimiento sigue después del plazo máximo para matricularse en un curso o programa universitario?
¿Qué medidas se toman al finalizar el período de inscripción para programas de becas o ayudas económicas?
¿Cómo se gestiona la situación cuando ya no se admiten solicitudes para participar en actividades académicas extracurriculares?
¿Qué acciones se llevan a cabo después del cierre de inscripción para cursos de capacitación profesional o diplomados?
¿Qué medidas se toman al finalizar el plazo límite para solicitar cambios en la matrícula o programa académico?
¿Cómo se maneja la situación cuando ya no se aceptan solicitudes para participar en programas de intercambio internacional?
¿Qué procedimiento sigue después del cierre de inscripción para solicitudes de certificados académicos o documentos oficiales?",2
